code_site,adresse,operateur,mise_en_serv,mise_en_serv_4g,mise_en_serv_5g_3500,mise_en_serv_5g_700,type,ardt,geo_shape,geo_point_2d
T15545,48-50 Boulevard des batignolles,BOUYGUES,2017-05-16,,,,,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.322349274780281, 48.882710136684075], 'type': 'Point'}, 'properties': {}}","{'lon': 2.322349274780281, 'lat': 48.882710136684075}"
75111_021_02,5 Passage des taillandiers,FREE MOBILE,2015-07-07,2015-07-07,2023-02-07,,3G/4G/5G,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.374699500329855, 48.85387200031923], 'type': 'Point'}, 'properties': {}}","{'lon': 2.374699500329855, 'lat': 48.85387200031923}"
7510051971,5 Place de venetie res tivoli,SFR,2024-12-27,,,,3G/4G/5G,75013,"{'type': 'Feature', 'geometry': {'coordinates': [2.364363000518205, 48.82177800032044], 'type': 'Point'}, 'properties': {}}","{'lon': 2.364363000518205, 'lat': 48.82177800032044}"
T15200,5 Rue du faubourg st-antoine,BOUYGUES,2013-10-04,,,,,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.3707737653726015, 48.85317211762436], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3707737653726015, 'lat': 48.85317211762436}"
00017394U5,52 Rue de la victoire,ORANGE,2012-12-03,2012-11-27,2023-04-26,,3G/4G/5G,75009,"{'type': 'Feature', 'geometry': {'coordinates': [2.335059000484962, 48.8752739999309], 'type': 'Point'}, 'properties': {}}","{'lon': 2.335059000484962, 'lat': 48.8752739999309}"
00000015U8,54 Boulevard de la villette,ORANGE,2011-04-22,2013-05-23,2022-11-17,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.3745762874393943, 48.87461911629175], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3745762874393943, 'lat': 48.87461911629175}"
75107_015_01,54 Rue de la tour maubourg,FREE MOBILE,2014-07-17,2014-09-30,,,3G/4G/5G,75007,"{'type': 'Feature', 'geometry': {'coordinates': [2.3098725005628316, 48.8586959995616], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3098725005628316, 'lat': 48.8586959995616}"
00000411U7,55 Rue vergniaud,ORANGE,2011-04-07,2013-06-26,,,3G/4G,75013,"{'type': 'Feature', 'geometry': {'coordinates': [2.345391000231396, 48.82616099989517], 'type': 'Point'}, 'properties': {}}","{'lon': 2.345391000231396, 'lat': 48.82616099989517}"
00008723U3,56 Avenue georges mandel,ORANGE,2016-11-14,2016-11-14,2022-12-02,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.2781052404606346, 48.8641881543071], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2781052404606346, 'lat': 48.8641881543071}"
75101_007_09,5-7 rue thérèse,FREE MOBILE,2017-05-09,2017-05-09,,,3G/4G,75001,"{'type': 'Feature', 'geometry': {'coordinates': [2.3360625004299895, 48.86588700005951], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3360625004299895, 'lat': 48.86588700005951}"
7510058530,57 Rue de montreuil,SFR,2024-06-11,,,,3G/4G/5G,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.3894328395625957, 48.850578594779094], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3894328395625957, 'lat': 48.850578594779094}"
75117_039_02,5-7 Rue georges berger,FREE MOBILE,2015-12-07,2015-12-07,,,3G/4G/5G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.3100929994798873, 48.88115099955011], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3100929994798873, 'lat': 48.88115099955011}"
